TLID,FNODE,TNODE,LENGTH
62057833,14305,14418,177.87063
62057835,13560,13478,225.25483
62057836,13630,13591,62.03915
62057837,13591,13560,41.16205
62057838,13591,13478,326.04996
62057839,13794,13773,81.9397
62057840,13663,13690,95.33234
62057842,13682,13539,182.06294
62057843,13663,13690,173.35435
62057844,13559,13629,179.12916
62057845,13670,13714,63.60005
62057846,13662,13559,114.82309
62057847,13559,13600,54.64884
62057848,13600,13634,44.72853
62057849,13654,13600,102.45515
62057850,13662,13634,51.45454
62057851,13730,13663,95.72494
62057853,13714,13682,56.33121
62057854,13682,13730,68.37441
62057855,13730,13854,199.77969
62057856,13654,13670,25.20799
62057857,13634,13654,47.66636
62057858,13688,13662,56.33171
62057859,13689,13662,48.06904
62057860,13772,13714,107.62454
62057861,13793,13762,75.08569
62057862,13820,13772,102.90912
62057863,13688,13772,132.25522
62057864,13690,13794,183.07402
62057865,13828,13794,62.03948
62057866,13730,13828,298.62024
62057867,13828,13894,102.90558
62057868,13923,13894,137.64709
62057869,13854,13923,149.73333
62057870,14037,13923,360.17931
62057871,13905,13854,107.54696
62057872,13843,13793,90.0894
62057873,13729,13820,116.28951
62057874,13833,13820,28.2686
62057875,13762,13905,200.04902
62057876,13934,13905,70.41403
62057877,13793,13934,213.16753
62057878,13966,13934,84.49708
62057879,13843,13966,205.82023
62057880,14013,13966,81.09084
62057881,13653,13688,48.68659
62057882,13729,13688,70.4148
62057883,13681,13755,102.56433
62057885,13681,13729,56.53764
62057886,13779,13729,68.37605
62057889,13755,13779,51.45484
62057890,13819,13779,54.6497
62057891,13865,13819,64.59776
62057892,13792,13819,61.29181
62057893,13779,13833,121.60616
62057894,13876,13833,48.68659
62057895,13876,13843,41.16429
62057896,13819,13876,130.87964
62057897,13910,13876,68.2379
62057898,13822,13865,93.49858
62057901,13865,13910,107.59146
62057902,13993,13910,137.48301
62057909,13894,14026,213.91376
62057910,14026,14103,235.15768
62057911,14026,14091,89.451
62057912,14091,14192,114.81425
62057913,14304,14192,229.14703
62057914,14037,14048,87.81186
62057916,13843,14013,266.54018
62057917,14013,14037,56.33148
62057919,14337,13993,472.61667
62057920,14266,14207,255.4352
62057921,14304,14325,111.34728
62057923,14364,14207,226.41314
62057924,14246,14207,56.53597
62057925,14364,14267,242.16933
62057926,14364,14303,56.53704
62057927,14417,14364,76.05459
62057930,14302,14324,546.61739
62057931,14025,13998,36.39985
62057933,14025,14149,233.48806
62057934,14025,14102,104.58835
62057937,14032,14123,133.42576
